#,securityParam,x1,x2,x3,bgvkeygenRtime,bgvencryptTime,bgvMultTime,bgvAddTime,bgvDecryptTime,bfvkeygenRtime,bfvencryptTime,bfvMultTime,bfvAddTime,bfvDecryptTime,ckkskeygenRtime,ckksencryptTime,ckksMultTime,ckksAddTime,ckksDecryptTime
111,8192,834,131,310,10,3,7,0,0,9,2,22,0,0,9,3,5,0,0
111,16384,834,131,310,62,13,42,1,2,56,7,111,0,3,55,10,33,0,6
111,32768,834,131,310,390,49,239,4,11,351,27,551,3,12,362,40,206,3,37
112,8192,637,652,229,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
112,16384,637,652,229,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
112,32768,637,652,229,391,49,240,4,10,352,27,551,3,12,364,40,206,3,36
113,8192,281,397,215,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
113,16384,281,397,215,62,13,43,1,2,56,7,111,1,3,55,10,34,1,6
113,32768,281,397,215,390,49,240,4,11,350,27,550,3,12,361,41,205,3,37
114,8192,901,831,748,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
114,16384,901,831,748,62,13,43,1,2,56,7,111,0,3,54,10,33,0,6
114,32768,901,831,748,390,50,244,4,10,350,27,555,3,12,364,39,207,3,37
115,8192,749,303,853,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
115,16384,749,303,853,62,13,43,1,2,56,7,110,0,3,55,10,34,0,5
115,32768,749,303,853,390,50,241,5,10,350,27,552,3,12,350,39,206,3,37
116,8192,935,589,450,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
116,16384,935,589,450,63,13,42,1,2,56,7,110,0,3,55,10,34,0,6
116,32768,935,589,450,395,49,240,5,10,351,27,551,3,12,362,42,210,3,37
117,8192,441,509,540,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
117,16384,441,509,540,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
117,32768,441,509,540,390,50,241,5,10,351,27,553,3,12,363,40,206,3,37
118,8192,539,621,280,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
118,16384,539,621,280,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
118,32768,539,621,280,389,49,240,4,11,351,27,551,3,12,362,41,206,3,37
119,8192,682,411,603,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
119,16384,682,411,603,62,13,43,1,2,56,7,115,0,3,55,10,34,0,6
119,32768,682,411,603,395,50,241,5,10,356,27,555,3,12,350,41,207,3,37
120,8192,887,638,508,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
120,16384,887,638,508,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
120,32768,887,638,508,390,50,242,5,10,351,27,553,3,12,348,39,206,3,37
121,8192,840,10,681,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
121,16384,840,10,681,62,13,43,1,2,56,7,111,0,3,54,10,34,0,5
121,32768,840,10,681,389,50,241,5,10,351,27,553,3,12,360,39,206,3,36
122,8192,819,842,856,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
122,16384,819,842,856,62,13,42,1,2,56,7,110,0,3,55,10,33,0,5
122,32768,819,842,856,390,50,241,5,10,355,27,552,3,12,364,39,207,3,37
123,8192,845,309,594,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
123,16384,845,309,594,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
123,32768,845,309,594,390,49,239,4,11,352,27,550,3,12,361,41,205,3,37
124,8192,597,649,257,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
124,16384,597,649,257,62,13,43,1,2,56,7,110,0,3,55,10,34,0,5
124,32768,597,649,257,389,49,240,6,11,351,27,552,3,12,363,41,207,3,37
125,8192,307,966,140,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
125,16384,307,966,140,63,13,42,1,2,56,7,110,0,3,55,10,33,0,5
125,32768,307,966,140,390,49,240,5,10,351,27,552,3,12,363,40,210,3,37
126,8192,773,394,191,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
126,16384,773,394,191,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
126,32768,773,394,191,390,49,243,5,10,350,27,553,3,12,364,39,207,3,36
127,8192,468,181,373,10,3,7,0,0,9,2,23,0,0,9,2,5,0,0
127,16384,468,181,373,62,13,44,1,2,56,7,110,0,3,55,10,33,0,5
127,32768,468,181,373,399,49,239,5,10,353,27,550,3,12,364,39,210,3,37
128,8192,85,376,39,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
128,16384,85,376,39,62,13,43,1,2,56,7,110,0,3,55,10,33,0,5
128,32768,85,376,39,395,49,241,5,11,352,27,551,3,12,359,41,205,3,37
129,8192,435,609,260,11,3,8,0,0,9,2,23,0,0,9,2,6,0,0
129,16384,435,609,260,63,13,43,1,2,56,7,110,0,3,55,10,33,0,5
129,32768,435,609,260,391,50,241,5,11,351,27,553,3,12,364,39,206,3,37
130,8192,615,455,991,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
130,16384,615,455,991,62,13,43,1,2,56,7,111,0,3,55,10,33,0,6
130,32768,615,455,991,390,49,239,5,11,350,27,552,3,12,363,41,205,3,37
131,8192,456,263,138,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
131,16384,456,263,138,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
131,32768,456,263,138,390,49,240,4,11,351,27,550,3,12,358,41,206,3,37
132,8192,738,285,82,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
132,16384,738,285,82,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
132,32768,738,285,82,390,50,241,5,10,350,27,553,3,12,363,40,206,3,37
133,8192,421,388,755,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
133,16384,421,388,755,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
133,32768,421,388,755,390,49,240,5,11,350,27,550,3,12,364,40,206,3,37
134,8192,204,995,350,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
134,16384,204,995,350,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
134,32768,204,995,350,390,49,240,5,10,350,27,551,3,12,375,40,206,3,37
135,8192,588,140,346,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
135,16384,588,140,346,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
135,32768,588,140,346,391,49,240,5,11,351,27,551,3,12,358,41,205,3,37
136,8192,914,603,795,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
136,16384,914,603,795,62,13,43,1,2,56,7,110,0,3,54,10,33,0,6
136,32768,914,603,795,390,50,240,5,10,350,27,554,3,12,349,41,206,3,37
137,8192,348,252,878,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
137,16384,348,252,878,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
137,32768,348,252,878,390,50,241,4,10,350,27,561,3,12,365,39,206,3,37
138,8192,7,453,455,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
138,16384,7,453,455,62,13,43,1,2,56,7,111,0,3,55,10,33,0,6
138,32768,7,453,455,390,50,241,5,10,352,27,551,3,12,376,39,206,3,37
139,8192,883,746,520,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
139,16384,883,746,520,62,13,43,1,2,56,7,111,0,3,55,10,34,0,6
139,32768,883,746,520,390,50,241,5,10,350,27,556,3,12,366,39,206,3,37
140,8192,888,473,860,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
140,16384,888,473,860,62,13,43,1,2,56,7,110,0,3,55,10,33,0,5
140,32768,888,473,860,395,50,241,4,10,355,27,555,3,12,365,39,206,3,37
141,8192,62,293,596,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
141,16384,62,293,596,62,13,43,1,2,56,7,111,0,3,55,10,33,0,6
141,32768,62,293,596,390,50,241,5,10,351,27,552,3,12,365,39,207,3,36
142,8192,54,927,828,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
142,16384,54,927,828,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
142,32768,54,927,828,390,50,240,4,11,351,27,552,3,12,364,39,206,3,37
143,8192,129,828,238,11,3,8,0,0,9,2,23,0,0,9,2,5,0,0
143,16384,129,828,238,62,13,43,1,2,56,7,110,0,3,55,10,33,0,5
143,32768,129,828,238,391,50,241,4,10,351,27,551,3,12,364,39,209,3,37
144,8192,910,759,236,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
144,16384,910,759,236,64,13,45,1,2,57,7,111,0,3,55,10,33,0,6
144,32768,910,759,236,389,50,241,4,10,352,27,551,3,12,362,39,206,3,37
145,8192,553,125,859,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
145,16384,553,125,859,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
145,32768,553,125,859,390,50,240,4,10,351,27,552,3,12,363,40,205,3,37
146,8192,633,74,731,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
146,16384,633,74,731,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
146,32768,633,74,731,390,49,241,4,11,351,27,552,3,12,364,39,206,3,37
147,8192,390,249,129,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
147,16384,390,249,129,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
147,32768,390,249,129,390,49,239,5,10,350,27,550,3,12,359,39,206,3,37
148,8192,40,597,426,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
148,16384,40,597,426,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
148,32768,40,597,426,390,49,240,4,11,350,26,551,3,12,365,40,206,3,37
149,8192,413,712,854,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
149,16384,413,712,854,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
149,32768,413,712,854,390,50,241,5,10,350,26,553,3,12,364,39,207,3,37
150,8192,186,80,37,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
150,16384,186,80,37,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
150,32768,186,80,37,390,50,241,5,10,351,26,553,3,12,364,39,209,3,37
151,8192,688,139,402,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
151,16384,688,139,402,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
151,32768,688,139,402,391,50,241,4,10,351,28,554,3,12,350,39,206,3,37
152,8192,895,243,466,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
152,16384,895,243,466,62,13,43,1,2,56,7,111,0,3,55,10,34,0,6
152,32768,895,243,466,390,49,240,4,11,351,27,558,3,12,359,41,205,3,37
153,8192,480,684,770,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
153,16384,480,684,770,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
153,32768,480,684,770,390,49,240,4,11,350,27,549,3,12,358,41,205,3,37
154,8192,576,165,711,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
154,16384,576,165,711,64,13,42,1,2,57,7,110,0,3,55,10,33,0,6
154,32768,576,165,711,390,50,240,5,10,351,27,551,3,12,364,39,205,3,36
155,8192,553,753,532,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
155,16384,553,753,532,62,13,43,1,2,56,7,111,0,3,54,10,33,0,5
155,32768,553,753,532,392,49,240,4,10,351,27,550,3,12,364,40,206,3,37
156,8192,14,832,637,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
156,16384,14,832,637,62,13,42,1,2,56,7,111,0,3,55,10,34,0,5
156,32768,14,832,637,390,50,242,4,10,351,27,555,3,12,364,39,210,3,36
157,8192,907,937,371,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
157,16384,907,937,371,62,13,43,1,2,56,7,111,0,3,55,10,34,0,6
157,32768,907,937,371,391,49,240,5,10,350,27,553,3,12,363,41,206,3,37
158,8192,925,260,376,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
158,16384,925,260,376,62,13,43,1,2,56,7,110,0,3,56,10,34,0,6
158,32768,925,260,376,393,49,240,4,11,351,27,554,3,12,361,40,206,3,37
159,8192,910,723,866,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
159,16384,910,723,866,62,13,43,1,2,57,7,114,0,3,54,10,34,0,5
159,32768,910,723,866,393,49,241,5,11,351,27,552,3,12,360,40,206,3,37
160,8192,609,178,203,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
160,16384,609,178,203,64,13,43,1,2,56,7,111,0,3,54,10,33,0,6
160,32768,609,178,203,391,51,240,5,10,351,27,550,3,12,363,39,207,3,37
161,8192,571,618,951,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
161,16384,571,618,951,63,13,43,1,2,57,7,110,0,3,54,10,34,0,6
161,32768,571,618,951,390,49,239,5,11,351,27,550,3,12,358,41,205,3,37
162,8192,327,490,86,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
162,16384,327,490,86,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
162,32768,327,490,86,390,50,241,5,10,351,27,551,3,12,354,39,206,3,37
163,8192,708,450,135,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
163,16384,708,450,135,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
163,32768,708,450,135,389,49,239,5,10,351,27,551,3,12,364,40,205,3,36
164,8192,178,250,882,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
164,16384,178,250,882,64,13,42,1,2,58,7,111,0,3,55,10,33,0,5
164,32768,178,250,882,390,50,240,5,10,350,27,551,3,12,349,39,206,3,36
165,8192,733,926,465,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
165,16384,733,926,465,62,13,43,1,2,56,7,111,0,3,55,10,34,0,6
165,32768,733,926,465,390,50,240,5,11,351,27,550,3,12,364,41,206,3,36
166,8192,21,452,848,10,3,7,0,0,9,2,22,0,0,9,2,5,0,1
166,16384,21,452,848,62,13,42,1,2,56,7,110,0,3,54,10,34,0,6
166,32768,21,452,848,389,49,239,4,10,351,26,549,3,12,364,39,206,3,36
167,8192,89,523,571,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
167,16384,89,523,571,62,13,43,1,2,56,7,110,0,3,54,10,34,0,5
167,32768,89,523,571,390,49,240,5,10,351,27,556,3,12,370,39,207,3,37
168,8192,948,666,836,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
168,16384,948,666,836,62,13,42,1,2,56,7,110,0,3,55,10,34,0,6
168,32768,948,666,836,392,49,240,5,11,351,27,551,3,12,361,41,207,3,37
169,8192,436,902,647,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
169,16384,436,902,647,63,13,42,1,2,57,7,110,0,3,55,10,33,0,6
169,32768,436,902,647,389,50,241,5,10,350,27,553,3,12,363,39,207,3,37
170,8192,926,329,594,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
170,16384,926,329,594,62,13,43,1,2,56,7,110,0,3,55,10,33,0,5
170,32768,926,329,594,390,50,240,5,11,351,27,552,3,12,364,39,206,3,36
171,8192,351,94,444,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
171,16384,351,94,444,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
171,32768,351,94,444,390,50,241,5,10,350,27,556,3,12,364,39,206,3,37
172,8192,151,959,275,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
172,16384,151,959,275,62,13,43,1,2,56,7,111,0,3,54,10,33,0,6
172,32768,151,959,275,390,50,240,5,10,350,26,556,3,12,364,39,206,3,37
173,8192,596,436,3,10,3,7,0,0,9,2,22,0,0,9,3,5,0,0
173,16384,596,436,3,63,13,43,1,2,56,7,110,0,3,55,10,33,0,6
173,32768,596,436,3,390,49,239,5,10,350,27,552,3,12,358,39,206,3,37
174,8192,244,785,274,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
174,16384,244,785,274,63,13,43,1,2,56,7,110,0,3,55,10,34,0,6
174,32768,244,785,274,390,50,241,4,10,351,27,553,3,12,363,41,206,3,37
175,8192,824,791,526,10,3,7,0,0,9,2,22,0,0,9,3,5,0,0
175,16384,824,791,526,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
175,32768,824,791,526,390,50,243,4,10,351,27,553,3,12,363,41,206,3,37
176,8192,676,869,233,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
176,16384,676,869,233,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
176,32768,676,869,233,390,50,243,5,12,351,27,554,3,12,351,39,206,3,36
177,8192,916,81,608,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
177,16384,916,81,608,62,13,42,1,2,56,7,110,0,3,55,10,33,0,5
177,32768,916,81,608,390,50,240,4,10,351,27,553,3,12,350,39,206,3,37
178,8192,833,439,171,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
178,16384,833,439,171,62,13,43,1,2,56,7,111,0,3,55,10,33,0,6
178,32768,833,439,171,389,50,240,5,10,350,27,553,3,12,362,40,207,3,37
179,8192,538,652,333,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
179,16384,538,652,333,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
179,32768,538,652,333,391,49,240,4,11,351,27,552,3,12,363,41,209,3,36
180,8192,249,909,243,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
180,16384,249,909,243,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
180,32768,249,909,243,390,50,241,4,10,352,27,550,3,12,361,41,206,3,36
181,8192,398,239,320,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
181,16384,398,239,320,62,13,42,1,2,56,7,110,0,3,54,10,33,0,6
181,32768,398,239,320,390,49,240,4,11,350,27,554,3,12,364,41,206,3,36
182,8192,519,522,462,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
182,16384,519,522,462,62,13,42,1,2,56,7,110,0,3,55,10,34,0,5
182,32768,519,522,462,392,50,241,5,10,352,27,555,4,14,350,39,206,3,37
183,8192,810,533,380,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
183,16384,810,533,380,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
183,32768,810,533,380,393,50,240,4,11,351,27,553,3,12,364,41,206,3,37
184,8192,219,87,36,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
184,16384,219,87,36,62,13,43,1,2,56,7,111,0,3,55,10,34,0,5
184,32768,219,87,36,389,49,240,5,10,351,27,550,3,12,363,41,206,3,37
185,8192,255,631,461,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
185,16384,255,631,461,62,13,43,1,2,56,7,111,0,3,55,10,34,0,6
185,32768,255,631,461,390,51,241,5,10,350,27,555,3,12,364,39,206,3,37
186,8192,346,556,404,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
186,16384,346,556,404,62,13,42,1,2,56,7,110,0,3,55,10,34,0,6
186,32768,346,556,404,390,49,239,5,11,350,26,550,3,12,359,41,205,3,37
187,8192,223,225,746,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
187,16384,223,225,746,62,13,43,1,2,55,7,111,0,3,55,10,33,0,6
187,32768,223,225,746,390,49,240,5,11,350,27,553,3,12,363,41,206,3,37
188,8192,279,162,563,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
188,16384,279,162,563,62,13,42,1,2,56,7,110,0,3,55,10,34,0,6
188,32768,279,162,563,390,49,240,4,11,351,26,549,3,12,363,41,206,3,36
189,8192,214,862,72,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
189,16384,214,862,72,62,13,42,1,2,56,7,111,0,3,54,10,33,0,5
189,32768,214,862,72,391,51,241,5,10,352,27,552,3,12,363,40,206,3,37
190,8192,672,368,526,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
190,16384,672,368,526,62,13,43,1,2,56,7,110,0,3,54,10,34,0,5
190,32768,672,368,526,390,50,241,5,10,350,26,557,3,12,363,41,209,3,36
191,8192,830,860,483,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
191,16384,830,860,483,62,13,43,1,2,56,7,111,0,3,55,10,33,0,5
191,32768,830,860,483,390,49,240,5,10,350,27,554,3,12,363,40,206,3,37
192,8192,517,153,597,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
192,16384,517,153,597,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
192,32768,517,153,597,390,50,241,5,10,350,27,552,3,12,364,41,206,3,37
193,8192,578,320,229,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
193,16384,578,320,229,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
193,32768,578,320,229,390,49,240,5,10,353,28,555,3,12,366,41,206,3,36
194,8192,229,382,459,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
194,16384,229,382,459,62,13,42,1,2,56,7,111,0,3,55,10,34,0,6
194,32768,229,382,459,390,49,239,5,10,350,27,550,3,12,364,39,206,3,37
195,8192,924,578,377,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
195,16384,924,578,377,64,13,43,1,2,56,7,110,0,3,55,10,34,0,5
195,32768,924,578,377,390,50,241,5,10,352,27,553,3,12,364,41,206,3,36
196,8192,86,671,22,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
196,16384,86,671,22,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
196,32768,86,671,22,390,50,241,5,10,351,28,554,3,12,364,39,206,3,36
197,8192,264,871,250,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
197,16384,264,871,250,62,13,43,1,2,56,7,110,0,3,55,10,34,0,5
197,32768,264,871,250,389,49,239,5,11,351,27,551,3,12,364,40,209,3,36
198,8192,641,302,183,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
198,16384,641,302,183,62,13,43,1,2,56,7,111,0,3,55,10,34,0,6
198,32768,641,302,183,389,49,240,5,10,350,26,550,3,12,363,39,206,3,37
199,8192,420,127,965,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
199,16384,420,127,965,62,13,43,1,2,56,7,111,0,3,55,10,34,0,6
199,32768,420,127,965,390,50,241,5,10,352,27,551,3,12,364,41,206,3,37
